id,order_id,product_id,product_name,size,quantity,price_cents
1,1,1,SDTRCK Trui (Groen),XL,1,3500
2,1,2,SDTRCK T-Shirt (Rood),XL,1,2200
3,2,2,SDTRCK T-Shirt (Rood),XL,1,2200
4,3,2,SDTRCK T-Shirt (Rood),L,1,2200
5,4,1,SDTRCK Trui (Groen),S,1,3500
6,5,1,SDTRCK Trui (Groen),M,1,3500
7,5,2,SDTRCK T-Shirt (Rood),M,1,2200
8,6,2,SDTRCK T-Shirt (Rood),L,1,2200
9,7,1,SDTRCK Trui (Groen),XL,1,3500
10,7,2,SDTRCK T-Shirt (Rood),XL,1,2200
11,8,2,SDTRCK T-Shirt (Rood),S,1,2200
12,9,1,SDTRCK Trui (Groen),L,1,3500
13,10,1,SDTRCK Trui (Groen),XL,1,3500
14,11,1,SDTRCK Trui (Groen),XL,1,3500
15,12,2,SDTRCK T-Shirt (Rood),XL,1,2200
16,13,1,SDTRCK Trui (Groen),M,1,3500
17,13,2,SDTRCK T-Shirt (Rood),M,1,2200
18,14,2,SDTRCK T-Shirt (Rood),L,1,2200
19,14,1,SDTRCK Trui (Groen),L,1,3500
20,15,2,SDTRCK T-Shirt (Rood),M,1,2200
21,15,2,SDTRCK T-Shirt (Rood),L,1,2200
22,15,1,SDTRCK Trui (Groen),M,1,3500
23,15,1,SDTRCK Trui (Groen),L,1,3500
24,16,1,SDTRCK Trui (Groen),XL,1,3500
25,16,2,SDTRCK T-Shirt (Rood),XL,1,2200
26,17,1,SDTRCK Trui (Groen),M,1,3500
27,18,2,SDTRCK T-Shirt (Rood),L,1,2200
28,19,1,SDTRCK Trui (Groen),L,1,3500
